sampleID	lat	lon
S13-0964	46.92958	-121.66042
S13-1244	46.914	-121.64552
S13-1253	46.91361	-121.64097
S13-0897	46.90617	-121.6479
S14-0173	46.8912	-121.7021
S11-0522	46.7865	-121.73234
S11-0539	46.78626	-121.7325
S11-0537	46.78626	-121.7325
S10-0583	46.7826	-121.7436
S11-0658	46.7815	-121.7478
S10-0432	46.7815	-121.7478
S11-0525	46.7815	-121.7478
S13-3088	46.78142	-121.74795
S13-3092	46.78017	-121.74763
S13-1661	46.77851	-121.74895
S11-0518	46.777548	-121.7582
S11-0716	46.77502	-121.74724
S10-0511	46.75	-121.81
S11-0715	46.74963	-121.8115
S13-1074	46.87083	-121.51865
S13-1069	46.80389	-121.28172000000001
S14-0310	46.63697	-121.35246
S14-0178	46.49043	-121.51516
S13-3246	46.14729	-121.47523
S13-1028	46.11318	-121.47876
S13-3239	46.00294	-121.78923
S13-0896	45.95502	-121.81298
S13-0887	45.94554	-121.81322
S14-2332	45.37062	-121.65866
S13-1624	45.33969	-121.63381
S13-1625	45.32948	-121.70645
S18-7770	45.32837	-121.63219
S13-1356	45.32721	-121.67121
OR02	44.45687104	-121.8416084
OR10new	44.40444452	-121.8689746
newS17-0877	44.40124625	-121.8871863
S18-3688	44.33017667	-121.862855
S18-3683	44.35183167	-121.8654
S13-1198	44.26926437	-121.7800272
S18-3634	44.20847667	-121.8245833
S18-3642	44.20098833	-121.867495
S18-3667	44.09657833	-121.6204217
newS18-3675	44.0938	-121.6311492
S16-0024	43.999773	-121.865439
S18-3665	44.02103667	-121.826355
newS18-1174	44.00919	-121.684988
S17-6354	44.00664667	-121.6059783
S18-1173	44.00238	-121.67344
S18-2062	44.00119	-121.67221
newS17-1506	44.00030958	-121.6766497
newS17-1522	43.996285	-121.620115
S18-3657	43.99522333	-121.6933217
newS17-6341	43.99137778	-121.5864661
new1S17-1508	43.9898	-121.6563
newS17-0881	43.98947	-121.56821
S17-2543	43.98724	-121.64779
S18-2069	43.96805	-121.80936
S17-6383	43.82001	-121.9137317
OR14	43.61221	-121.95463
S14-2561	43.611	-122.043
OR13	43.60857	-121.94629
OR12	43.59593714	-122.0510557
OR11	43.59402714	-122.0349543
S17-1481	43.51417	-122.06527
OR07	42.925255	-122.031065
OR22	42.90139	-122.05014
OR17new	42.89574	-122.13667
S13-2559	42.86992	-122.1442
SNRF-16	40.59	-121.51
SNRF-12	40.55	-121.46
SNRF-18	40.55	-121.51
SNRF-15	40.49	-121.51
SNRF-20	40.55	-121.56
SNRF-08	40.52686	-121.21630999999999
SNRF-27	40.50957	-121.46589
SNRF-10	40.500506	-121.175092
SNRF-14	40.5	-121.3
SNRF-24	40.5	-121.39
SNRF-09	40.4998	-121.17312
SNRF-22	40.48	-121.19
SNRF-03	40.45	-121.33
SNRF-23	40.45	-121.2
SNRF-06	40.45	-121.3
SNRF-25	40.437964	-121.07207
SNRF-26	40.49476	-121.18202
SNRF-31	40.5149	-121.4654
SNRF-28	40.50133	-121.16869
SNRF-34	40.47613	-121.51335
SNRF-32	40.55948	-121.18678
SNRF-30	40.55143	-121.20511
SNRF-38	40.52814	-121.38389
SNRF-35	40.49788	-121.3836
SNRF-36	40.49648	-121.3857
SNRF-39	40.487335	-121.501633
SNRF-37	40.48474	-121.49747
2011-2	38.352786	-119.620968
2010-8	38.34390013	-119.4364357
2011-1	38.31347101	-119.6171481
2010-7	38.31223307	-119.6346774
2010-6	38.308955	-119.6363315
2012-3	38.29827135	-119.6313495
2012-4	38.2072	-119.59853
